Date,AccountNumber2,Payee3,Notes,Account Name,Total,Expense,TPS,TVQ,Category,CategoryID,Reconciled from
2015-06-06,31944d3aedb7a5e7a87c9aa3f8dae825,Koodo,6010,Cell Phone,39.5,32.55,2.32,4.63,Utilities,49bcd9d8957972e606cc9d8465796402,
2015-06-16,31944d3aedb7a5e7a87c9aa3f8dae825,Telus,6010,Cell Phone,61.59,50.75,3.62,7.22,Utilities,49bcd9d8957972e606cc9d8465796402,
2015-06-20,31944d3aedb7a5e7a87c9aa3f8dae825,Gemstelecom/CRONOMAGIC,6010,Internet,59.99,51.01,3,5.98,Utilities,49bcd9d8957972e606cc9d8465796402,Email statement
2015-07-03,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services,6010,Hosting,6.16,6.16,,,Amazon,5add7dd99382de8f166cb7e89b744062,Email Statement apps@il
2015-07-03,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services,6010,Hosting,15.45,15.45,,,Amazon,5add7dd99382de8f166cb7e89b744062,Email Statement apps@fieldl
2015-07-06,31944d3aedb7a5e7a87c9aa3f8dae825,Koodo,6010,Cell Phone,39.5,32.55,2.32,4.63,Utilities,49bcd9d8957972e606cc9d8465796402,
2015-07-16,31944d3aedb7a5e7a87c9aa3f8dae825,Telus,6010,Cell Phone,61.59,50.75,3.62,7.22,Utilities,49bcd9d8957972e606cc9d8465796402,
2015-07-20,31944d3aedb7a5e7a87c9aa3f8dae825,Gemstelecom/CRONOMAGIC,6010,Internet,59.99,51.01,3,5.98,Utilities,49bcd9d8957972e606cc9d8465796402,Email statement
2015-08-03,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services,6010,Hosting,6.16,6.16,,,Amazon,5add7dd99382de8f166cb7e89b744062,Email Statement apps@il
2015-08-03,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services,6010,Hosting,15.45,15.45,,,Amazon,5add7dd99382de8f166cb7e89b744062,Email Statement apps@fieldl
2015-08-06,31944d3aedb7a5e7a87c9aa3f8dae825,Koodo,6010,Cell Phone,39.5,32.55,2.32,4.63,Utilities,49bcd9d8957972e606cc9d8465796402,
2015-08-16,31944d3aedb7a5e7a87c9aa3f8dae825,Telus,6010,Cell Phone,61.59,50.75,3.62,7.22,Utilities,49bcd9d8957972e606cc9d8465796402,
2015-08-20,31944d3aedb7a5e7a87c9aa3f8dae825,Gemstelecom/CRONOMAGIC,6010,Internet,59.99,51.01,3,5.98,Utilities,49bcd9d8957972e606cc9d8465796402,Email statement
2015-09-02,31944d3aedb7a5e7a87c9aa3f8dae825,DOMAINSATCOST,6013,Hosting,11.83,10.06,0.59,1.18,Amazon,5add7dd99382de8f166cb7e89b744062,fieldl
2015-09-02,31944d3aedb7a5e7a87c9aa3f8dae825,DOMAINSATCOST,6014,Hosting,11.83,10.06,0.59,1.18,Amazon,5add7dd99382de8f166cb7e89b744062,seedn
2015-09-03,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services,6010,Hosting,6.16,6.16,,,Amazon,5add7dd99382de8f166cb7e89b744062,Email Statement apps@il
2015-09-03,31944d3aedb7a5e7a87c9aa3f8dae825,Amazon Web Services,6010,Hosting,15.45,15.45,,,Amazon,5add7dd99382de8f166cb7e89b744062,Email Statement apps@fieldl
2015-09-05,31944d3aedb7a5e7a87c9aa3f8dae825,DOMAINSATCOST,6015,Hosting,11.83,10.06,0.59,1.18,Amazon,5add7dd99382de8f166cb7e89b744062,field
2015-09-06,31944d3aedb7a5e7a87c9aa3f8dae825,Koodo,6010,Cell Phone,39.5,32.55,2.32,4.63,Utilities,49bcd9d8957972e606cc9d8465796402,
2015-09-16,31944d3aedb7a5e7a87c9aa3f8dae825,Telus,6010,Cell Phone,61.59,50.75,3.62,7.22,Utilities,49bcd9d8957972e606cc9d8465796402,
2015-09-20,31944d3aedb7a5e7a87c9aa3f8dae825,Gemstelecom/CRONOMAGIC,6010,Internet,59.99,51.01,3,5.98,Utilities,49bcd9d8957972e606cc9d8465796402,Email statement
