"Date";"Account Name";"Number";"Description";"Notes";"Memo";"Category";"Type";"Action";"Reconcile";"To With Sym";"From With Sym";"To Num.";"From Num.";"To Rate/Price";"From Rate/Price"
"2012-04-27";"Cash and Deposit";"";"Rotisserie Coco Rico";"";"";"Representation";"T";"";"N";"-C$11.44";"";"-11.44";"";"";""
"";"";"";"";"";"";"Representation";"S";"";"N";"";"C$11.44";"";"11.44";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$11.44";"";"-11.44";"";"1.00";""
"2012-04-30";"Cash and Deposit";"";"Bank Charge";"";"";"Bank Service Charge";"T";"";"N";"-C$4.95";"";"-4.95";"";"";""
"";"";"";"";"";"";"Bank Service Charge";"S";"";"N";"";"C$4.95";"";"4.95";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$4.95";"";"-4.95";"";"1.00";""
"2012-04-30";"Cash and Deposit";"";"Domain At cost";"";"";"Dues and Subscriptions";"T";"";"N";"-C$13.60";"";"-13.60";"";"";""
"";"";"";"";"";"";"Dues and Subscriptions";"S";"";"N";"";"C$13.60";"";"13.60";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$13.60";"";"-13.60";"";"1.00";""
"2012-05-02";"Cash and Deposit";"";"PMT Theressa";"";"";"Theressa Dering";"T";"";"N";"-C$1,379.62";"";"-1,379.62";"";"";""
"";"";"";"";"";"";"Theressa Dering";"S";"";"N";"";"C$1,379.62";"";"1,379.62";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$1,379.62";"";"-1,379.62";"";"1.00";""
"2012-05-03";"Cash and Deposit";"";"Qc Payroll taxes";"";"";"Payroll Tax Qc";"T";"";"N";"-C$639.88";"";"-639.88";"";"";""
"";"";"";"";"";"";"Payroll Tax Qc";"S";"";"N";"";"C$639.88";"";"639.88";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$639.88";"";"-639.88";"";"1.00";""
"2012-05-03";"Cash and Deposit";"";"Fed Payroll taxes";"";"";"Payroll Tax Fed";"T";"";"N";"-C$316.68";"";"-316.68";"";"";""
"";"";"";"";"";"";"Payroll Tax Fed";"S";"";"N";"";"C$316.68";"";"316.68";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$316.68";"";"-316.68";"";"1.00";""
"2012-05-09";"Cash and Deposit";"";"PMT Employee1 (Transfert)";"";"";"Employee1 Employee1";"T";"";"N";"-C$1,352.83";"";"-1,352.83";"";"";""
"";"";"";"";"";"";"Employee1 Employee1";"S";"";"N";"";"C$1,352.83";"";"1,352.83";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$1,352.83";"";"-1,352.83";"";"1.00";""
"2012-05-14";"Cash and Deposit";"6";"PMT Theressa";"";"";"Theressa Dering";"T";"";"N";"-C$1,379.62";"";"-1,379.62";"";"";""
"";"";"";"";"";"";"Theressa Dering";"S";"";"N";"";"C$1,379.62";"";"1,379.62";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$1,379.62";"";"-1,379.62";"";"1.00";""
"2012-05-24";"Cash and Deposit";"7";"PMT Theressa";"";"";"Theressa Dering";"T";"";"N";"-C$1,379.62";"";"-1,379.62";"";"";""
"";"";"";"";"";"";"Theressa Dering";"S";"";"N";"";"C$1,379.62";"";"1,379.62";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$1,379.62";"";"-1,379.62";"";"1.00";""
"2012-05-31";"Cash and Deposit";"";"Bank Charge";"";"";"Bank Service Charge";"T";"";"N";"-C$4.95";"";"-4.95";"";"";""
